title,year,rating,genre,country
Blinded by the Light,2019,6.9,Comedy,UK
Blindspotting,2018,7.4,Comedy,USA
Blitz,2011,6.2,Action,UK
Blockers,2018,6.2,Comedy,USA
Blood Father,2016,6.4,Action,France
Blood Ties,2013,6.5,Action,France
Bloodline,2018,6,Crime,USA
BloodRayne: The Third Reich,2011,3,Action,USA
Bloodshot,2020,5.7,Action,USA
Bloodsucking Bastards,2015,5.7,Action,USA
Blow the Man Down,2019,6.4,Comedy,USA
Blue Is the Warmest Colour,2013,7.7,Drama,France
Blue Jasmine,2013,7.3,Drama,USA
Blue Jay,2016,7.3,Drama,USA
Blue Mountain State: The Rise of Thadland,2016,5.8,Comedy,USA
Blue Ruin,2013,7.1,Crime,USA
Blue Valentine,2010,7.4,Drama,USA
Bodyguard,2011,4.6,Action,India
Bohemian Rhapsody,2018,8,Biography,UK
Bokeh,2017,5,Drama,USA
Bomb City,2017,6.8,Crime,USA
Bombshell,2019,6.8,Biography,Canada
Bone Tomahawk,2015,7.1,Drama,USA
Boo! A Madea Halloween,2016,4.6,Comedy,Hong Kong
Book Club,2018,6.1,Comedy,USA
Booksmart,2019,7.2,Comedy,USA
Borat Subsequent Moviefilm,2020,6.8,Adventure,UK
Border,2018,7,Crime,Sweden
Borg McEnroe,2017,6.9,Biography,Sweden
Borgman,2013,6.7,Drama,Netherlands
Born to Be Blue,2015,6.9,Biography,Canada
Bottom of the World,2017,5.3,Drama,Canada
Boulevard,2014,5.8,Drama,USA
Bound to Vengeance,2015,5.6,Horror,USA
Bounty Killer,2013,5.5,Action,USA
Boy,2010,7.5,Comedy,New Zealand
Boy Erased,2018,6.9,Biography,Australia
Boy Wonder,2010,6.8,Action,USA
Boyhood,2014,7.9,Drama,USA
Brad's Status,2017,6.5,Comedy,USA
Brahms: The Boy II,2020,4.6,Drama,USA
Brain on Fire,2016,6.6,Biography,USA
Brake,2012,6.1,Thriller,USA
Branded,2012,4.7,Drama,USA
Brave,2012,7.1,Animation,USA
Braven,2018,6,Action,Canada
Brawl in Cell Block 99,2017,7.1,Action,USA
Breaking In,2018,5.4,Action,USA
Breakthrough,2019,6.2,Biography,USA
Breathe,2017,7.1,Biography,UK
Breathe In,2013,6.4,Drama,USA
Brick Mansions,2014,5.7,Action,France
Bridesmaids,2011,6.8,Comedy,USA
Bridge of Spies,2015,7.6,Drama,Germany
Bridget Jones's Baby,2016,6.5,Comedy,USA
Bright,2017,6.3,Action,USA
Brightburn,2019,6.1,Drama,USA
Brighton Rock,2010,5.7,Crime,UK
Brigsby Bear,2017,7.3,Comedy,USA
Brimstone,2016,7.1,Drama,Netherlands
Brittany Runs a Marathon,2019,6.8,Comedy,USA
Broken,2012,7.3,Drama,UK
Broken City,2013,6.2,Action,USA
Brooklyn,2015,7.5,Drama,UK
Brothers,2015,6.5,Action,India
Bucky Larson: Born to Be a Star,2011,3.2,Comedy,USA
Bullet Head,2017,5.4,Crime,Bulgaria
Bullet to the Head,2012,5.7,Action,USA
Bumblebee,2018,6.8,Action,China
Bunraku,2010,6.2,Action,USA
Buried,2010,7,Drama,Spain
Burke and Hare,2010,6.2,Comedy,UK
Burlesque,2010,6.4,Drama,USA
Burning,2018,7.5,Drama,South Korea
Burning Bright,2010,5.9,Drama,USA
Burnt,2015,6.6,Comedy,USA
Burying the Ex,2014,5.4,Comedy,USA
Bushwick,2017,5.2,Action,USA
Buster's Mal Heart,2017,6.1,Crime,USA
Butter,2011,6.2,Comedy,USA
By the Sea,2015,5.3,Drama,France
Byzantium,2012,6.5,Drama,UK
Ca$h,2010,6,Crime,USA
Cabin Fever,2016,3.7,Horror,USA
Cabin Fever: Patient Zero,2014,4.4,Horror,USA
Cafe Society,2016,6.6,Comedy,USA
Café de flore,2011,7.4,Drama,Canada
Cake,2014,6.4,Drama,USA
Calibre,2018,6.8,Drama,UK
Call Me by Your Name,2017,7.9,Drama,Italy
Calvary,2014,7.4,Comedy,Ireland
Cam,2018,5.9,Drama,USA
Camp X-Ray,2014,6.9,Drama,USA
Can You Ever Forgive Me?,2018,7.1,Biography,USA
Can You Keep a Secret?,2019,5.3,Comedy,USA
Can't Come Out to Play,2013,6.1,Drama,USA
Capital Punishment,2014,6.1,Action,Canada
Capone,2020,4.7,Biography,Canada
Capsule,2015,6,Drama,UK
Captain America: Civil War,2016,7.8,Action,USA
Captain America: The First Avenger,2011,6.9,Action,USA
Captain America: The Winter Soldier,2014,7.7,Action,USA
Captain Fantastic,2016,7.9,Comedy,USA
Captain Marvel,2019,6.9,Action,USA
Captain Phillips,2013,7.8,Adventure,USA
Captain Underpants: The First Epic Movie,2017,6.2,Animation,USA
Captive,2015,5.4,Action,USA
Captive State,2019,6,Action,USA
Careful What You Wish For,2015,5.7,Drama,USA
Cargo,2017,6.3,Drama,Australia
Carnage,2011,7.2,Comedy,France
Carol,2015,7.2,Drama,UK
Carrie,2013,5.9,Drama,USA
Carrie Pilby,2016,6.6,Comedy,USA
Cars 2,2011,6.1,Animation,USA
Cars 3,2017,6.7,Animation,USA
Casa de mi Padre,2012,5.5,Comedy,USA
Casino Jack,2010,6.2,Biography,Canada
Cat Run,2011,5.6,Action,USA
Catch .44,2011,4.6,Action,USA
Catfight,2016,5.8,Comedy,USA
Cats,2019,2.8,Comedy,UK
Cats & Dogs: The Revenge of Kitty Galore,2010,4.3,Action,USA
CBGB,2013,6.6,Crime,USA
Cedar Rapids,2011,6.2,Comedy,USA
Celeste & Jesse Forever,2012,6.6,Comedy,USA
Cell,2016,4.4,Action,USA
Cemetery Junction,2010,6.9,Comedy,UK
Central Intelligence,2016,6.3,Action,USA
Centurion,2010,6.4,Action,UK
Cep Herkülü: Naim Süleymanoglu,2019,8.4,Biography,Turkey
Certain Women,2016,6.3,Drama,USA
Certified Copy,2010,7.3,Drama,France
Chain Letter,2010,4.1,Horror,USA
Chained,2012,6.4,Crime,Canada
Chalard games goeng,2017,7.6,Comedy,Thailand
Chalet Girl,2011,6.3,Comedy,UK
Chappie,2015,6.8,Action,South Africa
Charlie's Angels,2019,4.8,Action,Germany
Chasing Mavericks,2012,7.2,Biography,USA
Chatroom,2010,5.5,Drama,UK
Cheap Thrills,2013,6.7,Comedy,USA
Chef,2014,7.3,Adventure,USA
Chemical Hearts,2020,6.2,Drama,USA
Chennai Express,2013,6,Action,India
Chernobyl Diaries,2012,5,Horror,USA
Cherry,2012,4.8,Drama,USA
Chi-Raq,2015,5.7,Comedy,USA
Chico & Rita,2010,7.2,Animation,Spain
Child 44,2015,6.5,Crime,Czech Republic
Child's Play,2019,5.8,Horror,Canada
Chillar Party,2011,7.4,Comedy,India
Chinese Puzzle,2013,7,Comedy,France
Chinese Zodiac,2012,6.1,Action,Hong Kong
CHIPS,2017,6,Action,USA
Christine,2016,6.9,Biography,UK
Christmas Inheritance,2017,5.7,Comedy,USA
Christmas with the Coopers,2015,5.8,Comedy,USA
Christopher Robin,2018,7.3,Adventure,UK
Chronicle,2012,7,Drama,USA
Churchill,2017,6.1,Biography,UK
Cinderella,2015,6.9,Drama,USA
Circle,2015,6,Drama,USA
Circumstance,2011,5.8,Drama,France
Cirque du Soleil: Worlds Away,2012,6.8,Fantasy,USA
Citadel,2012,5.5,Drama,Ireland
City of Lies,2018,6.3,Biography,UK
Clash of the Titans,2010,5.8,Action,USA
Cleanskin,2012,6.3,Action,UK
