title,link,year,rating,n_ratings,genre,cert,country,lang,budget,opening_week,runtime,continent,region
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,History,15,Morocco,English,50000000,16194738,144,Africa,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,History,15,Morocco,Arabic,50000000,16194738,144,Africa,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,History,15,USA,English,50000000,16194738,144,Americas,North America
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,History,15,USA,Arabic,50000000,16194738,144,Americas,North America
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,War,15,Malta,English,50000000,16194738,144,Europe,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,War,15,Malta,Arabic,50000000,16194738,144,Europe,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,War,15,Morocco,English,50000000,16194738,144,Africa,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,War,15,Morocco,Arabic,50000000,16194738,144,Africa,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,War,15,USA,English,50000000,16194738,144,Americas,North America
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,War,15,USA,Arabic,50000000,16194738,144,Americas,North America
13 Sins,http://www.imdb.com/title/tt2059171/?ref_=adv_li_tt,2014,6.3,33151,Horror,15,USA,English,4000000,9261,93,Americas,North America
13 Sins,http://www.imdb.com/title/tt2059171/?ref_=adv_li_tt,2014,6.3,33151,Thriller,15,USA,English,4000000,9261,93,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,USA,English,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,USA,French,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,USA,German,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,UK,English,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,UK,French,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,UK,German,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,India,English,95000000,576216,119,Asia,South Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,India,French,95000000,576216,119,Asia,South Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,India,German,95000000,576216,119,Asia,South Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,Spain,English,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,Spain,French,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,Spain,German,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,Canada,English,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,Canada,French,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,Canada,German,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,China,English,95000000,576216,119,Asia,East Asia & Pacific
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,China,French,95000000,576216,119,Asia,East Asia & Pacific
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,Drama,15,China,German,95000000,576216,119,Asia,East Asia & Pacific
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,USA,English,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,USA,French,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,USA,German,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,UK,English,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,UK,French,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,UK,German,95000000,576216,119,Europe,Europe & Central Asia
